person,race_ethnicity,religion,sexual_orientation,year_of_award,award,movie
Tatum O'Neal,White,Na,Straight,1974,Best Supporting Actress,Paper Moon
Ingrid Bergman,White,Na,Straight,1975,Best Supporting Actress,Murder on the Orient Express
Lee Grant,White,Jewish,Straight,1976,Best Supporting Actress,Shampoo
Beatrice Straight,White,Na,Straight,1977,Best Supporting Actress,Network
Vanessa Redgrave,White,Na,Straight,1978,Best Supporting Actress,Julia
Maggie Smith,White,Na,Straight,1979,Best Supporting Actress,California Suite
Meryl Streep,White,Na,Straight,1980,Best Supporting Actress,Kramer vs. Kramer
Mary Steenburgen,White,Na,Straight,1981,Best Supporting Actress,Melvin and Howard
Maureen Stapleton,White,Roman Catholic,Straight,1982,Best Supporting Actress,Reds
Jessica Lange,White,Na,Straight,1983,Best Supporting Actress,Tootsie
Linda Hunt,White,Na,Na,1984,Best Supporting Actress,The Year of Living Dangerously
Peggy Ashcroft,White,Agnostic,Straight,1985,Best Supporting Actress,A Passage to India
Anjelica Huston,White,Na,Straight,1986,Best Supporting Actress,Prizzi's Honor
Dianne Wiest,White,Na,Straight,1987,Best Supporting Actress,Hannah and Her Sisters
Olympia Dukakis,White,Na,Straight,1988,Best Supporting Actress,Moonstruck
Geena Davis,White,Congregationalist,Straight,1989,Best Supporting Actress,The Accidental Tourist
Brenda Fricker,White,Na,Straight,1990,Best Supporting Actress,My Left Foot
Whoopi Goldberg,Black,Atheist,Straight,1991,Best Supporting Actress,Ghost
Mercedes Ruehl,Hispanic,Roman Catholic,Straight,1992,Best Supporting Actress,The Fisher King
Marisa Tomei,White,Na,Straight,1993,Best Supporting Actress,My Cousin Vinny
Anna Paquin,White,Na,Bisexual,1994,Best Supporting Actress,The Piano
Dianne Wiest,White,Na,Straight,1995,Best Supporting Actress,Bullets Over Broadway
Mira Sorvino,White,Atheist,Straight,1996,Best Supporting Actress,Mighty Aphrodite
Juliette Binoche,White,Na,Straight,1997,Best Supporting Actress,The English Patient
Kim Basinger,White,Na,Straight,1998,Best Supporting Actress,L.A. Confidential
Judi Dench,White,Quaker,Straight,1999,Best Supporting Actress,Shakespeare in Love
Angelina Jolie,White,Buddhist,Bisexual,2000,Best Supporting Actress,"Girl, Interrupted"
Marcia Gay Harden,White,Na,Straight,2001,Best Supporting Actress,Pollock
Jennifer Connelly,White,Jewish,Straight,2002,Best Supporting Actress,A Beautiful Mind
Catherine Zeta-Jones,White,Roman Catholic,Straight,2003,Best Supporting Actress,Chicago
Ren̩e Zellweger,White,Na,Straight,2004,Best Supporting Actress,Cold Mountain
Cate Blanchett,White,Na,Straight,2005,Best Supporting Actress,The Aviator
Rachel Weisz,White,Jewish,Straight,2006,Best Supporting Actress,The Constant Gardener
Jennifer Hudson,Black,Baptist,Straight,2007,Best Supporting Actress,Dreamgirls
Tilda Swinton,White,Na,Straight,2007,Best Supporting Actress,Michael Clayton
Penelope Cruz,Hispanic,Buddhist,Straight,2009,Best Supporting Actress,Vicky Cristina Barcelona
Mo'Nique,Black,Na,Straight,2010,Best Supporting Actress,Precious
Melissa Leo,White,Na,Straight,2011,Best Supporting Actress,The Fighter
Octavia Spencer,Black,Na,Na,2012,Best Supporting Actress,The Help
Anne Hathaway,White,Christian,Straight,2013,Best Supporting Actress,Les Mis̩rables
Lupita Nyong'o,Black,Na,Na,2014,Best Supporting Actress,12 Years a Slave
Billy Wilder,White,Jewish,Straight,1961,Best Director,The Apartment
Ginger Rogers,White,Christian Science,Straight,1941,Best Actress,Kitty Foyle
Tom Hanks,White,Born-Again Christian,Straight,1994,Best Actor,Philadelphia
Michael Cimino,White,Na,Straight,1979,Best Director,The Deer Hunter
Mary Astor,White,Roman Catholic,Straight,1942,Best Supporting Actress,The Great Lie
Angelina Jolie,White,Buddhist,Bisexual,2000,Best Supporting Actress,"Girl, Interrupted"
Lee Grant,White,Jewish,Straight,1976,Best Supporting Actress,Shampoo
Anne Revere,White,Na,Straight,1946,Best Supporting Actress,National Velvet
Faye Dunaway,White,Roman Catholic,Straight,1977,Best Actress,Network
Van Heflin,White,Na,Straight,1943,Best Supporting Actor,Johnny Eager
Joanne Woodward,White,Na,Straight,1958,Best Actress,The Three Faces of Eve
Gary Cooper,White,Roman Catholic,Straight,1953,Best Actor,High Noon
Elizabeth Taylor,White,Jewish,Straight,1967,Best Actress,Who's Afraid of Virginia Woolf?
Hilary Swank,White,Na,Straight,2005,Best Actress,Million Dollar Baby
Hilary Swank,White,Na,Straight,2005,Best Actress,Million Dollar Baby
Gwyneth Paltrow,White,Jewish,Straight,1999,Best Actress,Shakespeare in Love
Jack Albertson,White,Na,Na,1969,Best Supporting Actor,The Subject Was Roses
Mo'Nique,Black,Na,Straight,2010,Best Supporting Actress,Precious
Marcia Gay Harden,White,Na,Straight,2001,Best Supporting Actress,Pollock
Maggie Smith,White,Na,Straight,1970,Best Actress,The Prime of Miss Jean Brodie
Rachel Weisz,White,Jewish,Straight,2006,Best Supporting Actress,The Constant Gardener
Danny Boyle,White,Roman Catholic,Straight,2009,Best Director,Slumdog Millionaire
Jason Robards,White,Na,Straight,1977,Best Supporting Actor,All the President's Men
James Coburn,White,Na,Straight,1999,Best Supporting Actor,Affliction
John Huston,White,Na,Straight,1949,Best Director,The Treasure of the Sierra Madre
