attore,film,anno
Joanne Dru,All the King's Men,1949
Paul Mazursky,Touch,1997
Emma Stone,Marmaduke,2010
Bridget Fonda,Jackie Brown,1997
David Field,Oyster Farmer,2005
Eric Wareheim,The Comedy,2012
Ned Beatty,Deliverance,1972
Jack Hallett,The Business of Strangers,2001
Lea Thompson,Back to the Future Part II,1989
Seth Rogen,Sausage Party,2016
James Remar,Renaissance Man,1994
Petra Wright,Laura Smiles,2006
Sherry McConkey,McConkey,2013
Jill Ritchie,D.E.B.S.,2004
Cynthia Harris,Mannequin 2: On the Move,1991
Ken Mitsuishi,Beyond Outrage,2014
Hanna Schygulla,Die Bitteren Trnen der Petra von Kant (The Bitter Tears of Petra Von Kant),1972
Ken Howard,In Her Shoes,2005
Nicholas Hoult,X-Men: Apocalypse,2016
Quim Avila,Seve the Movie,2016
Tim Blake Nelson,The Amateurs (The Moguls) (Dirty Movie),2005
Elizabeth Ann Roberts,Old Fashioned,2015
Martin Freeman,Ghost Stories,2018
Charlotte D'Amboise,Frances Ha,2013
Michael Madsen,Straight Talk,1992
Rita Hayworth,Cover Girl,1944
Katherine Parkinson,The Guernsey Literary and Potato Peel Pie Society,2018
Jeremy Davies,Teknolust,2002
Dennis Haysbert,Sinbad: Legend of the Seven Seas,2003
Vera Farmiga,Joshua,2007
Colette Marchand,Moulin Rouge,1952
Kerry Rossall,Tomorrow You're Gone,2013
Glauco Mauri,Deep Red (Profondo rosso),1975
Clovis Cornillac,Eden Log,2007
Janeane Garofalo,Dog Park,1998
Theodore Pelerine,At First Light,2018
Simone Simon,The Curse of the Cat People,1945
Edward Mulhare,Our Man Flint,1966
Peter Fonda,The Big Fix,2011
Desi Arnaz,"The Long, Long Trailer",1954
Phil Valentine,The Anonymous People,2014
Marcus Thomas,The Forger,2015
Keira Knightley,Domino,2005
Cheech Marin,Yellowbeard,1983
Jane Adams (II),Alexander the Last,2009
Lance Fenton,Heathers,1988
Marc Blucas,I Capture the Castle,2003
Sal Mineo,Exodus,1960
Ana Claudia Talancn,One Missed Call,2008
Amanda Langlet,Pauline At The Beach,1983
Sammo Hung Kam-Bo,Jackie Chan's Project A ('A' gai wak) (Pirate Patrol),1983
Marne Maitland,Bhowani Junction,1956
Jenny Shimizu,Foxfire,1996
Connor Christie,Missionary,2014
Emily Hampshire,It's a Boy Girl Thing,2006
Mickey Rooney,The Human Comedy,1943
Daniel Roebuck,Let There Be Light,2017
Vincent D'Onofrio,Chelsea Walls,2001
Sienna Miller,2 Jacks,2013
David Birney,"Oh, God! Book II",1980
Michael Showalter,Wet Hot American Summer,2001
Dierdra McDowell,4:44 Last Day on Earth,2012
Talitha Pol,Barbarella,1968
Minnie Driver,Beautiful,2000
Julianne Moore,Maggie's Plan,2016
William Hurt,The Disappearance of Eleanor Rigby: Them,2014
Paul Freeman,The Dogs of War,1980
Justin Matthews (XIII),Phoenix Forgotten,2017
Pollyanna Macintosh,Exam,2008
Britt Robertson,The Family Tree,2011
Martin Lawrence,Black Knight,2001
Changua Zhang,Last Train Home,2010
Robert Capron,Diary of a Wimpy Kid: Dog Days,2012
Suzanne Marrot,Mustang,2015
Kate Nelligan,Wolf,1994
Adrien Brody,Dummy,2003
Cliff Robertson,PT 109,1963
Cameron Diaz,There's Something About Mary,1998
Elain Bernard,The Corporation,2004
Jesus Lira,Sin Nombre,2009
Sandrine Kiberlain,Violette,2014
Lauren Ambrose,Psycho Beach Party,2000
Vladimir Sokoloff,For Whom the Bell Tolls,1943
Diane Cilento,Tom Jones,1963
Bobbi Kristina Brown,Whitney,2018
Jacqueline Brookes,The Good Son,1993
Destine M'Bikulu Mayemba,La fe (The Fairy),2012
David Dorfman,The Ring,2002
James Stacy,Posse,1975
Jennifer Coolidge,Austenland,2013
Eric Stoltz,Fort McCoy,2014
Melissa Leo,The Most Hated Woman In America,2017
Callan McAuliffe,I Am Number Four,2011
Mawenn,Polisse,2012
David Otunga,The Call,2013
Mike Epps,Repentance,2014
Gabriella Pallotta,Il Grido (The Cry),1957
Joshua Jackson,Cursed,2005
Nina Dobrev,Let's Be Cops,2014
Oskar Werner,Decision Before Dawn,1951
Clive Davis,Am I Black Enough for You?,2009
Bruce McGill,The Hand,1981
Takashi Shimura,The Hidden Fortress (kakushi-toride No San-akunin),1958
Ron Yuan,The Girl from the Naked Eye,2012
Willem Dafoe,Platoon,1986
Shirley Temple,The Littlest Rebel,1935
Ben Johnson,Chisum,1970
Harry Chase,Hello Lonesome,2011
Charlie Sheen,Terminal Velocity,1994
Emanuel Schierl,In Search of Memory (Auf der Suche nach dem Gedchtnis),2009
Christine Lahti,Swing Shift,1984
Sidse Babett Knudsen,Inferno,2016
Penelope Ann Miller,Free Style,2009
Earl Rowe,The Blob,1958
Beth Colt,Chuck & Buck,2000
Ricardo Salvador,King Corn,2007
John Malkovich,Of Mice and Men,1992
Jane Alexander,Testament,1983
Davyd Harries,Overlord,1975
Valerie Perrine,The Electric Horseman,1979
Ben Batt,The Windmill (The Windmill Massacre),2016
Paul Campbell VIII,Play The Game,2009
Katie Holmes,Dear Dictator,2018
Buddy Bregman,Anita O'Day: The Life of a Jazz Singer,2007
Dabney Coleman,9 to 5,1980
Bruno Ganz,Vitus,2007
Jeroen Krabb,No Mercy,1986
Harvey Keitel,Bugsy,1991
Ian Richardson,Incognito,1998
Aitana Snchez-Gijn,The Machinist,2004
Brad Rijn,Special Effects,1984
Seth Gabel,Allegiance,2012
Richard Green,The Snowtown Murders,2012
Jane Alexander,Kramer vs. Kramer,1979
Eihi Shiina,Tky Zankoku Keisatsu (Tokyo Gore Police),2008
Merry Clayton,20 Feet From Stardom,2013
Candice Bergen,Oliver's Story,1978
Sal Fish,Dust to Glory,2005
Fawzia el Kader,The Battle of Algiers (La Battaglia di Algeri),1967
Adam Hendershott,Celtic Pride,1996
Natalija Nogulich,The Guardian,1990
Madelief Blanken,Saint,2011
Richard Libertini,Everybody Wants to Be Italian,2007
Alena von Stroheim,Found Footage 3D,2016
Gwyneth Paltrow,Flesh And Bone,1993
Vincent Vega,Bobby G. Can't Swim,1999
Franois Prier,Nights of Cabiria (Le Notti di Cabiria),1957
Ruby Dee,A Raisin in the Sun,1961
Duff McKagan,The Damned: Don't You Wish That We Were Dead,2015
Cade Woodward,A Quiet Place,2018
Judith Godrche,Entropy,1999
Austin Pendleton,"What's Up, Doc?",1972
Maggie Gyllenhaal,Sherrybaby,2006
Julia Sawalha,Chicken Run,2000
Rufino Ingles,Tombs Of The Blind Dead (Noche del terror ciego),1972
Devlin Brown,District 9,2009
Kevin McNally,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Calvin Gibbs,The Kill Team,2014
Buddy Duress,Heaven Knows What,2015
Lily Collins,Okja,2017
Patrice Lovely,Tyler Perry's Boo! A Madea Halloween,2016
James Frecheville,I.T.,2016
Sung Kang,The Fast and the Furious: Tokyo Drift,2006
Morris Chestnut,Anacondas: The Hunt for the Blood Orchid,2004
Pat Hingle,Maximum Overdrive,1986
Nicole Kidman,Dead Calm,1989
Allan Havey,Comedian,2002
Norma Aleandro,Only Human (Seres queridos),2006
Jessica Tandy,Nobody's Fool,1994
Jean-Claude Van Damme,Street Fighter,1994
Daniel Schlachet,Swoon,1991
Linda Cristal,Mr. Majestyk,1974
Toby Jones,Tale of Tales (Il racconto dei racconti),2016
Harry Feist,Open City,1946
Sean Penn,The Interpreter,2005
F. Murray Abraham,Last Action Hero,1993
Denis Leary,Ice Age: Dawn of the Dinosaurs (Ice Age 3),2009
Bobby McFerrin,Alive Inside,2014
Shawn Elliott,Short Eyes,1977
Don 'D.C.' Curry,Friday After Next,2002
Christopher Isherwood,Chris & Don,2007
Hassan Khissal,Raja,2004
Holly Hunter,Incredibles 2,2018
Matthew Wilkas,Gayby,2012
Laurence Fishburne,King of New York,1990
Lainie Kazan,My Big Fat Greek Wedding,2002
Joseph Lawrence,Urban Legends: Final Cut,2000
Steve Wall,Nails,2017
Ray Milland,Love Story,1970
Ross Lynch,Teen Beach Movie,2013
Willem Dafoe,The Clearing,2004
Nikolaj Coster-Waldau,Blackthorn,2011
John Napierala,Perfect,1985
Joanne Whalley,44 Inch Chest,2010
Jake Busey,Held Up,2000
Betsy Russell,Saw 3D,2010
Rebecca Harrell Tickell,Prancer,1989
Gurn Gsladttir,The Sacrifice,1986
John Travolta,Life on the Line,2016
Mel Rodriguez,Overboard,2018
Toby Nichols,The Dark,2018
Ken Duken,Two Lives (Zwei Leben),2014
Jesse Archer,Violet Tendencies,2010
Victoria Thaine,Gone,2007
Satya Bhabha,Midnight's Children,2013
Jean Reno,Pink Panther 2,2009
Sharon Stone,Intersection,1994
George Hardy,Troll 2,1990
Jet Li,Twin Warriors (Tai ji zhang san feng) (The Tai-Chi Master),1984
Bradley Cooper,The Place Beyond The Pines,2013
Makram Khoury,Desert Dancer,2015
Agnese Nano,Cinema Paradiso (Nuovo Cinema Paradiso),1988
Bob Hoskins,Son of the Mask,2005
Charlie Sheen,Scary Movie 5,2013
Sam Waymon,Ganja & Hess,1973
Manu Chao,Gogol Bordello Non-Stop,2008
Shailene Woodley,Adrift,2018
Jack Thompson,Flesh & Blood (Flesh+Blood) (The Rose and the Sword),1985
Alec Baldwin,Mission: Impossible Rogue Nation,2015
George Macready,Gilda,1946
Zhigang Zhang,The King of Masks,1999
Lathar Menthel,"The Golem (Der Golem, wie er in die Welt kam)",1920
Benny Safdie,Good Time,2017
Lela Rochon,Blood Done Sign My Name,2010
Tom Noonan,Last Action Hero,1993
Albert Delpy,2 Days in Paris,2007
Ray Brooks,The Knack...And How to Get It,1965
Shirley MacLaine,In Her Shoes,2005
Charlotte Asprey,This Beautiful Fantastic,2017
Henry Cavill,Justice League,2017
Olivia Munn,The Babymakers,2012
Clemans Schick,Point Break,2015
Hart Bochner,Liberty Stands Still,2002
Jett Garner,Baghead,2008
Jane Adams (II),Restless,2011
Justin Long,Alvin and the Chipmunks: The Road Chip,2015
Hope Davis,The Special Relationship,2010
Michael Carbonaro,Another Gay Movie,2006
James Woods,This Girl's Life,2004
Andreas Katsulas,Next of Kin,1989
Olivia Cooke,The Quiet Ones,2014
Meg Ryan,Kate & Leopold,2001
Norm Macdonald,Billy Madison,1995
Anne Heche,Arthur Newman,2013
Jemma Powell,The Seasoning House,2013
Lee Strasberg,...And Justice for All,1979
Kyle MacLachlan,Me Without You,2002
Robert Donat,The Citadel,1938
Matt Winston,Harbinger Down,2015
Stephen Graham,Blood,2013
Rebecca Pidgeon,The Winslow Boy,1999
Lee Grant,Shampoo,1975
Ama Daetz,Batkid Begins,2015
Ferdinando Sarmi,Story of a Love Affair (Cronaca di un amore),1950
Danny Huston,Stolen,2012
Matthew Lawrence,Pulse,1988
Christine Kelly,Aftermath,2014
Harish Patel,My Son the Fanatic,1999
Jess Weixler,Entanglement,2018
Eric Hensen,Comic-Con: Episode IV - A Fan's Hope,2012
Stanley Townsend,Florence Foster Jenkins,2016
David Hartman,The Island at the Top of the World,1974
Richard Dix,The Ten Commandments,1923
Burt Young,Mickey Blue Eyes,1999
Raul Julia,Tempest,1982
Leo Carrillo,Manhattan Melodrama,1934
Joel Edgerton,The Waiting City,2010
Fanny Ardant,Roman de gare,2007
Julie Hagerty,What About Bob?,1991
Ellen Page,Flatliners,2017
Nichole M. Hiltz,May,2003
Jade Yourell,Waiting For Dublin,2007
Theresa Randle,Spawn,1997
Damon Dash,State Property 2,2005
Nick Gomez,The Chaperone,2011
Lola Kirke,Fallen,2017
Jean Reno,La Femme Nikita (Nikita),1990
Richard Dysart,Being There,1979
John Lithgow,The Tuskegee Airmen,1995
Christian Camargo,Happy Tears,2010
Randy Gornel,The Hollywood Knights,1980
Carmen Leyva,Goodbye Solo,2009
Micheal J. Smith Sr.,Ballast,2008
Dawn French,Coraline,2009
Robin Williams,Richard Pryor: Omit The Logic,2013
Pamela Brown,Cleopatra,1963
Clayton Rohner,Where's Marlowe?,1999
Johnathon Schaech,Hush,1998
Oasis,Oasis: Supersonic,2016
John Terry,In Country,1989
Peter Riegert,National Lampoon's Movie Madness,1982
Mia Maestro,Some Girl(s),2013
Jeffrey Wright,D-Tox (Eye See You),2002
Lin Shaye,Buster's Mal Heart,2017
Oded Fehr,For the Love of Money,2012
Toni Servillo,Dormant Beauty,2014
Clint Howard,Rock 'n' Roll High School,1979
Jean-Marie Winling,Love Songs,2008
Ian Hardin,Cannibal! The Musical (Alferd Packer: The Musical),1996
David Arquette,Riding the Bullet,2004
Anton Yelchin,Experimenter,2015
Tim Robbins,The Player,1992
Hubbel Palmer,Moving McAllister,2007
Jocelyn Brando,The Big Heat,1953
John Boyega,The Circle,2017
Victor Spinetti,Start The Revolution Without Me,1970
Jane Fonda,The Electric Horseman,1979
Valery Nikolaev,The Saint,1997
Ami Aare,Le Silence de la Mer,1949
Cecilia Gispert,Los Paranoicos (The Paranoids),2008
Gabriel Byrne,Hello Again,1987
Noam Chomsky,Manufacturing Consent - Noam Chomsky and the Media,1993
Claus Clausen,Westfront 1918,1930
Zo Kravitz,After Earth,2013
Charles Coburn,Gentlemen Prefer Blondes,1953
Charles Durning,The Sting,1973
Mekia Cox,Battlefield America,2012
Omar Epps,The Program,1993
Katie Aselton,The Sea of Trees,2016
Alicia Silverstone,Ass Backwards,2013
Luke Pasqualino,The Apparition,2012
Gregory Hines,Eve of Destruction,1990
Tyrese Gibson,Transformers: Revenge of the Fallen,2009
Colin Salmon,AVP - Alien Vs. Predator,2004
James Tarpey,The Beat Beneath My Feet,2016
Wesley Snipes,Blade: Trinity,2004
Fredric March,A Star Is Born,1937
Michael Pea,Frontera,2014
Remo Girone,Voice from the Stone,2017
Sta Fukushi,Bleach,2018
Benoit Regent,Three Colors: Blue (Trois Couleurs: Bleu),1993
Erika Christensen,The Case for Christ,2017
Roschdy Zem,Days of Glory,2007
Rafe Spall,Get Santa,2014
Darleen Carr,The Jungle Book,1967
Anna Lee,In Like Flint,1967
Jack Gore,Wonder Wheel,2017
Doug Scott Kramer,A Fierce Green Fire,2013
Carolyn McCormick,Enemy Mine,1985
Christian Oliver,Subject Two,2006
Bobby Di Cicco,The Big Red One,1980
Troy Ruptash,A Marine Story,2010
Charles Williams,The Life and Death of Colonel Blimp,1943
Kimberly Elise,Set It Off,1996
Michelle Nicastro,The Swan Princess II: Escape from Castle Mountain,1997
Joseph Running Fox,Avenged,2015
Carlo Cecchi,The Red Violin (Le violon rouge),1999
Richard Jordan,The Yakuza,1975
Neal Barnard,Forks Over Knives,2011
Liron Levo,Kedma,2003
David Carradine,Roadside Prophets,1992
Alexandra Lamy,Ricky,2009
Maggie Grace,Supercon,2018
Art Parkinson,The Anomaly,2015
Oskar Werner,The Spy Who Came In from the Cold,1965
Olivia Wilde,Fix,2009
Carey Mulligan,Drive,2011
Mai Thi Kim,American Experience,2004
Ehud Barak,Blood and Tears: The Arab-Israeli Conflict,2007
Alexis Clagett,Life as We Know It,2010
Chris Marquette,"Fear, Inc.",2016
Stephanie Roth Haberle,Fred Won't Move Out,2012
Isabelle Fuhrman,All The Wilderness,2015
El Farruco,Flamenco,2014
Rami Baruch,Gottfried Helnwein and the Dreaming Child,2012
Ari Graynor,An American Crime,2007
Robert Ginty,The Exterminator,1980
Kassagi,Pickpocket,1959
Keegan-Michael Key,Hell Baby,2013
Tom Hanks,The Post,2018
Jeff Goldblum,Deep Cover,1992
Guillaume Canet,Last Night,2011
Greta Lee,Gemini,2018
Edie Falco,Music From the Inside Out,2005
Angourie Rice,Every Day,2018
A. Michael Baldwin,Phantasm: OblIVion,1998
Joan Delaney,The President's Analyst,1967
Jack Palance,Shane,1953
Zach Braff,The Ex,2007
Sam Eidson,68 Kill,2017
Ruta Gedmintas,Tonight You're Mine,2012
Choi Seung-hyeon,Commitment,2013
David Arquette,Amanda and Jack Go Glamping,2017
Christina Applegate,Grand Theft Parsons,2004
Alberto Sordi,A Farewell To Arms,1957
Robert Vaughn,Joe's Apartment,1996
Tom Hamann,Antarctica: A Year on Ice,2014
Billy Halop,Angels with Dirty Faces,1938
Jim Carter,The Little Vampire,2000
John Wayne,Rio Grande,1950
Laurence Harvey,Night Watch,1973
Anna Margaret Hollyman,Summer of Blood,2014
Javier Botet,Don't Knock Twice,2017
Will Shadley,The Spy Next Door,2010
Rufus Thomas,Wattstax,2000
Maria Yi,Fist of Fury (Jing wu men),1972
Nisa Petty,Darling,2016
Dick Van Patten,The Shaggy D.A.,1976
Kerry Washington,Life Is Hot in Cracktown,2009
Bruce Dern,Class Rank,2018
Nigel Patrick,The MacKintosh Man,1973
Olly Alexander,Enter the Void (Soudain le vide),2010
Burt Lancaster,Ulzana's Raid,1972
Delroy Lindo,Romeo Must Die,2000
Katie Holmes,The Singing Detective,2003
Alfre Woodard,The Forgotten,2004
Joe Pesci,Raging Bull,1980
Jules Munshin,Take Me Out to the Ball Game,1949
Rory Culkin,Hick,2012
David Moscow,Just Married,2003
Mary Stuart Masterson,Immediate Family,1989
Lesley Gilb,Lemora - A Child's Tale of the Supernatural,2001
Alessandro Giuggioli,A Summer In Genoa,2009
Mara Jimnez,Whore,2004
Dennis Farina,Striking Distance,1993
Alexis Bledel,Post Grad,2009
Blake Harper,Naked Fame,2005
Tony Shalhoub,1408,2007
Vanessa Lee Chester,A Little Princess,1995
Jimmy Bennett,Hostage,2005
Felicity Dean,Persuasion,1995
Faith McDevitt,Claire of the Moon,2012
Tyler Mane,Gunless,2011
Marissa Ribisi,Dazed and Confused,1993
Julia Garner,Grandma,2015
Amy Adams,On the Road,2012
Max Renaudin Pratt,Zarafa,2015
Erykah Badu,Dave Chappelle's Block Party,2006
Nick Kroll,Joshy,2016
Ving Rhames,Entrapment,1999
Kofi Siriboe,Kicks,2016
Paget Brewster,Uncle Nick,2015
Devon Graye,Scar,2007
Joe Anderson (VI),Operation: Endgame,2010
Delphine Seyrig,L'anne dernire  Marienbad (Last Year at Marienbad),1961
Sela Ward,Hello Again,1987
Guang Li,The Children of Huang Shi,2008
Mary Faber,Broadway Idiot,2013
Piper Perabo,Black Butterfly,2017
Colin Farrell,Saving Mr. Banks,2013
Angelo Rossitto,Mad Max Beyond Thunderdome,1985
Xzannjah Matsi,Mr. Pip,2014
Stephen Lord,Reverb,2007
Rossano Brazzi,The Italian Job,1969
Edward Burns,Sidewalks of New York,2001
Clayton Szlapinski,Stroszek,1977
Terry Jones,Monty Python's The Meaning of Life,1983
Nick Boraine,Detour,2017
James Dennis,Clean,2005
Kathy Bates,Angus,1995
Lisa Banes,The Hotel New Hampshire,1984
Tom Wisdom,The Lightkeepers,2010
Tara Fitzgerald,Dark Blue World,2001
Catherine St-Laurent,Tu Dors Nicole,2015
Joan Crawford,What Ever Happened to Baby Jane?,1962
Shaun White,The Crash Reel,2013
David Gulpilil,The Last Wave,1977
Bruce Davison,Hate Crime,2005
Juliane Mesiroff,Craigslist Joe,2012
Mary Tamm,The Odessa File,1974
Natacha Lindinger,Coco Chanel & Igor Stravinsky,2010
Patrick O'Bryan,976-EVIL,1989
Barry Gibb,Sgt. Pepper's Lonely Hearts Club Band,1978
Max Pirkis,Master and Commander: The Far Side of the World,2003
David Rasche,That Old Feeling,1997
Lili Simmons,Bone Tomahawk,2015
Keith Gordon,The Legend of Billie Jean,1985
Chris Rock,Osmosis Jones,2001
Emma Watson,Harry Potter and the Chamber of Secrets,2002
Rafe Beckley,Notes on Blindness,2016
"George ""Slim"" Summerville",All Quiet on the Western Front,1930
Warren Clarke,Red Riding: 1983,2009
Alfred Cheung,The Accidental Spy (Te wu mi cheng),2001
Dylan McDermott,Hardware,1990
Nia Long,Boiler Room,2000
Garry McDonald,The Rage in Placid Lake,2004
Antonia Zegers,No,2013
Alessandra Rosaldo,No se aceptan devoluciones (Instructions Not Included),2013
Bai Ling,A Beautiful Life,2009
Ryan Gosling,Blade Runner 2049,2017
Olivia d'Abo,The Big Green,1995
Harley Jane Kozak,Necessary Roughness,1991
Peter Sarsgaard,In the Electric Mist,2009
Cristian Solimeno,Mother of Tears: The Third Mother,2007
Brian D. Phelan,Skills Like This,2007
Evan Ross,All The Wilderness,2015
Michael Meyers,"Goodbye, Columbus",1969
David Carradine,Bird on a Wire,1990
Jacob Miller,Rockers,1980
Dominique Pinon,Roman de gare,2007
Anie Pascale,Whitewash,2014
Koji Yakusho,Warm Water Under a Red Bridge (Akai Hashi No Shita Noo Nurui Mizu),2002
Heino Ferch,The Harmonists,1999
John Ridgely,The Big Sleep,1946
Joey Adams,Bio-Dome,1996
Beverly D'Angelo,Accidental Love,2015
M. Emmet Walsh,Straight Time,1978
Gerard Butler,Machine Gun Preacher,2011
Vincent Perez (III),I Dreamed of Africa,2000
Kate Capshaw,Dreamscape,1984
Gregory Peck,Gentleman's Agreement,1947
Audrina Patridge,Sorority Row,2009
Jill Halfpenny,Ghost Stories,2018
Amy Ryan,Central Intelligence,2016
Patti Hagan,Battle for Brooklyn,2011
Cary Elwes,No Strings Attached,2011
Steve Weinik,Resurrect Dead: The Mystery of the Toynbee Tiles,2011
Morgan Freeman,Last Vegas,2013
Emily Bergl,The Rage: Carrie 2,1999
Alexis Denisof,Tarzan & Jane,2002
Luis Guzman,Fast Food Nation,2006
John Gilbert,Flesh and the Devil,1926
Nathan Phillips,Snakes on a Plane,2006
Katrina Bowden,Scary Movie 5,2013
Vincent Price,The Last Man on Earth,1964
Pablo Schreiber,Beast of Burden,2018
Sharon Stone,Above the Law,1988
Kristin Minter,What If...,2010
Philip Bosco,Suspect,1987
Lydia Hearst,Cabin Fever 3: Patient Zero,2014
Nat Pendleton,The Great Ziegfeld,1936
Frank Grillo,The Purge: Election Year,2016
Theresa M'Bissine Diop,Black Girl (La noire de...),1966
Collin Mothupi,Cheetah,1989
Bruce Dern,The Cowboys,1972
Ralph Fiennes,Skyfall,2012
Nathanial Parker,Wide Sargasso Sea,1993
Donald Sutherland,Free Money,1999
Matthew McConaughey,Texas Chainsaw Massacre: The Next Generation,1994
Anian Zollner,Das Versprechen (The Promise),1995
Judith Hoag,Forever My Girl,2018
Jean Corso,In the Name of My Daughter,2015
Brie Larson,Free Fire,2017
Guy Pearce,Seeking Justice,2012
Alok Chakravarty,The World of Apu,1960
Rae Dawn Chong,Beat Street,1984
Neal McDonough,Traitor,2008
Xavier Samuel,Adore,2013
Gary Oldman,Tau,2017
Guillermo Toledo,Only Human (Seres queridos),2006
Jeremy Irons,Being Julia,2004
Gillian El-Kadi,Following,1999
Robin Williams,The Face of Love,2014
Alec Guinness,Tunes of Glory,1960
Grover Dale,The Young Girls of Rochefort (Les Demoiselles de Rochefort),1968
Juno Temple,Far From the Madding Crowd,2015
Donal Logue,Charlie St. Cloud,2010
Tantoo Cardinal,Silent Tongue,1994
Moni Moshonov,Two Lovers,2008
John Heard,Deceived,1991
Jean Dujardin,"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",2008
Robert De Niro,The Untouchables,1987
Richard Basehart,He Walked by Night,1948
Betty Garrett,On the Town,1949
David Kelly,Charlie and the Chocolate Factory,2005
Adrien Brody,Enemy Territory (Septembers Of Shiraz),2016
Steven Streufert,Willow Creek,2014
Barbara Stanwyck,Baby Face,1933
Udo Kier,Fall Down Dead,2007
Vince Vaughn,The Lost World - Jurassic Park,1997
Gertrude Michael,Murder at the Vanities,1934
K Callan,Joe,1970
May Robson,Anna Karenina,1935
Natasha Lyonne,Loitering With Intent,2015
Emilio Estevez,The Breakfast Club,1985
Frederick Stafford,Topaz,1969
Hugh Grant,Love Actually,2003
Ryoichi Uchikoshi,Canopy,2014
Scotty Bowman,Red Army,2015
Matt Moore,An Affair to Remember,1957
Yko Naito,The Sword of Doom,1966
Morgan Freeman,The Magic of Belle Isle,2012
Jennifer Crystal Foley,61*,2001
Jude Ciccolella,Shakedown,1988
Mlanie Laurent,Aloft,2015
Chris Rydell,Queen of the Lot,2010
Alfred Molina,Spider-Man 2,2004
Glenn Corbett,Chisum,1970
Carroll Brooks,Mauvais Sang,1987
Ethan Hawke,Joe the King,1999
Kylie Minogue,Street Fighter,1994
Chris D'Elia,Half Magic,2018
Robert Townsend,The Mighty Quinn,1989
Margaret O'Brien,Little Women,1949
Femi Olagok,Restless City,2012
Toby Jones,The Adventures of Tintin,2011
Brad Pitt,Happy Feet Two,2011
Nigel Hawthorne,Madeline,1998
George Kennedy,The Human Factor,1979
Heather Graham,Committed,2000
Arlene Dahl,Journey to the Center of the Earth,1959
Kristopher Higgins,It Stains the Sands Red,2017
Ralph Fiennes,The Duchess,2008
Richard Basehart,The Island of Dr. Moreau,1977
Warren Hammack,Mars Needs Women,1966
Walter Matthau,A New Leaf,1971
Sharlto Copley,The Hollars,2016
Grant Lancaster,Beautiful Something,2016
Gordon Pinsent,Saint Ralph,2005
Daniel Brhl,Killing for Love (Das Versprechen),2017
Joanna Lumley,She's Funny That Way,2015
Richard Gere,The Dinner,2017
Teresa Palmer,Wish You Were Here,2013
Scott Anderson,Naked Fame,2005
Marlene Dietrich,Witness for the Prosecution,1957
Ryan Robbins,Wrecked,2011
Ashton Kutcher,"Dude, Where's My Car?",2000
Jean Servais,That Man from Rio,1964
Diane Keaton,Smother,2007
Til-Niklas Theinert,Nothing Bad Can Happen,2014
Zac Efron,High School Musical 2,2007
Donald Crisp,How Green Was My Valley,1941
Ikue Otani,Pokemon the First Movie - Mewtwo vs. Mew,1999
Danielle Polanco,Step Up 2 the Streets,2008
Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Sakhyan Asmara,The Act Of Killing,2013
Fantin Ravat,Young & Beautiful (Jeune Et Jolie),2014
Jim Broadbent,Postman Pat: The Movie,2014
Sophia Myles,Art School Confidential,2006
Roscoe Karns,Man's Favorite Sport?,1964
Mickey Rourke,Java Heat,2013
Michiel Huisman,The Invitation,2016
James Hong,Tango & Cash,1989
David Janssen,The Green Berets,1968
John Densmore,When You're Strange,2010
Alan Rickman,Perfume: The Story of a Murderer,2006
Bill Baxley,4 Little Girls,1997
Winston Francis,Harbinger Down,2015
Nina Usatova,The Island (Ostrov),2007
Emma Watson,Harry Potter and the Deathly Hallows - Part 2,2011
Seth Green,Austin Powers: International Man of Mystery,1997
Scott Paulin,Turner and Hooch,1989
Frank Oz,Zathura,2005
Anna Hopkins,The Grand Seduction,2014
Barbara Brown,Jack and the Beanstalk,1952
Daisy Eagan,Tony 'n' Tina's Wedding,2007
Rita Tushingham,The Knack...And How to Get It,1965
Luci Christian,The Girl,2013
Jesse Moss,Extraterrestrial,2014
Eddie Murphy,Nutty Professor II: The Klumps,2000
Ann Sheridan,I Was a Male War Bride,1949
Bela Lugosi,Dracula,1931
Lee Tse Ho,A Better Tomorrow,2010
Robert De Niro,Joy,2015
Anupam Kher,The Other End of the Line,2008
Frank McHugh,Mighty Joe Young,1949
Jarvis Cocker,Live Forever (Live Forever: The Rise and Fall of Brit Pop),2003
Nina Dobrev,Crash Pad,2017
Kyle Secor,Sleeping with the Enemy,1991
Nick Offerman,Nostalgia,2018
Kenjiro Ishiyama,Kaidan (Kwaidan) (Ghost Stories),1964
Saffron Burrows,Enigma,2002
Jade Yorker,Gridiron Gang,2006
Philip Bosco,Working Girl,1988
Aseem Chhabra,Sita Sings the Blues,2008
Richard Roundtree,Q,1982
Paula Prentiss,"What's New, Pussycat?",1965
Daniela Romo,One Man's Hero,1999
Amitabh Bachchan,Bunty Aur Babli,2005
Clive Owen,Sin City,2005
Rupert Isaacson,The Horse Boy,2009
Patrick Belton,Solitude,2002
William Rees,Payback,2012
Sandra Oh,"Sorry, Haters",2005
Dawn Armstrong,Meet The Mormons,2014
Charles McGraw,The Bridges at Toko-Ri,1954
Billy Zane,Posse,1993
Chowee Leow,Cut Sleeve Boys,2007
Kim Hunter,Beneath The Planet Of The Apes,1970
